imgps_x, imgps_y, ph0, u
500, 2380, 10.08563540705027, 300.1618352892091
500, 2400, 10.121085505254042, 300.3381496130286
500, 2420, 10.128654786459892, 300.3757961292649
500, 2440, 10.107048430019397, 300.26833492833646
500, 2460, 10.111288126697335, 300.28942144969596
500, 2480, 10.096593575966066, 300.2163367501523
500, 2500, 10.096757077549936, 300.21714994031726
500, 2520, 10.10138225716685, 300.2401536965272
500, 2540, 10.0962551634281, 300.21465362427045
500, 2560, 10.11002401877456, 300.28313429268
500, 2580, 10.104371413118677, 300.25502053857116
500, 2600, 10.08519300178486, 300.15963494593285
500, 2620, 10.075774292211037, 300.11279012761344
500, 2640, 10.09326514480735, 300.19978249166326
500, 2660, 10.11250058222993, 300.29545170879885
500, 2680, 10.105957273004543, 300.2629079585676
500, 2700, 10.105010312730512, 300.25819816455123
